fingerprint;level1;level2;level3
103360;8;36;3
103786;36;6;11
104461;7;19;10
104749;5;1;37
109456;5;5;52
115801;16;8;5
124570;2;9;40
126725;14;50;10
140604;22;21;9
146258;7;13;9
148946;21;2;1
149755;39;6;3
155536;3;39;7
162377;6;5;41
162545;2;57;8
163238;7;1;38
163678;4;3;33
173854;7;6;18
178744;23;21;4
185134;49;7;1
191352;0;2;42
192707;2;28;9
192799;21;3;13
193519;29;1;3
193897;27;29;6
195633;2;2;35
199897;3;6;29
201991;32;7;5
202365;27;12;2
202842;26;12;1
205082;31;3;17
218381;0;22;7
218748;8;7;31
219510;22;19;10
224310;31;13;1
238357;4;13;27
240298;6;25;4
244147;29;8;3
246487;1;30;6
247246;34;18;4
250288;0;7;42
255087;21;13;2
258642;2;9;23
266876;9;45;4
267326;2;0;41
271039;34;2;8
271674;30;4;5
274288;9;41;0
277510;0;6;31
277587;11;44;1
277666;2;10;37
281683;51;14;1
283654;42;10;7
284922;1;55;5
285466;20;25;4
285836;9;11;25
286817;4;7;18
295103;2;3;39
299414;40;1;5
300663;26;5;5
313736;4;19;4
316639;12;52;2
320571;3;46;7
331838;18;27;6
332715;7;7;22
336167;14;37;4
339257;4;34;2
345080;4;28;3
348177;29;12;0
351395;32;4;8
351565;1;9;39
356510;1;48;6
357362;35;22;2
362040;9;2;24
362745;28;7;10
365466;1;5;28
368805;32;12;5
369301;13;28;12
373940;6;24;10
377795;2;7;38
378433;3;29;13
378951;1;5;34
381245;24;2;5
390177;11;28;4
390783;10;5;3
392118;9;55;3
392467;10;46;11
394384;12;3;7
395309;20;4;8
412303;12;1;5
414319;41;10;5
416633;24;12;8
418787;3;22;3
422359;3;2;27
425578;14;8;1
426466;7;16;11
427558;11;40;10
432501;39;2;5
434786;20;8;7
435931;29;4;2
436707;9;35;6
441459;24;19;0
443625;2;1;40
445839;38;6;8
446335;22;8;1
448692;15;11;6
449390;10;48;3
452580;3;12;42
455319;1;48;0
457709;3;4;20
459336;2;54;9
463271;1;1;42
467481;30;15;0
469277;2;7;36
469428;31;11;3
470426;1;33;0
473016;27;3;9
498134;14;5;7
501055;36;28;8
501810;34;10;5
503391;4;36;4
504617;12;31;2
507693;34;16;6
517256;32;17;0
519626;4;3;32
527819;26;6;5
530827;17;56;3
541148;5;24;0
541557;11;62;7
553178;8;5;26
558955;16;22;3
567222;2;10;14
567248;24;13;3
567367;1;6;34
573604;5;0;28
574595;8;32;5
577091;8;2;32
577755;1;6;43
578909;2;4;24
586234;7;44;12
590409;8;53;3
611292;15;36;8
618775;30;7;3
619724;3;51;3
620673;43;19;2
624166;15;54;3
624667;46;13;5
627671;7;42;5
632928;13;19;6
634589;9;35;7
636213;39;6;0
639922;6;41;7
644227;0;6;44
645122;3;10;29
649185;5;5;42
649823;5;7;16
653196;33;2;2
658555;8;57;4
664103;2;4;1
665038;10;33;5
668268;11;23;2
672525;10;15;4
681690;17;1;2
681923;9;55;6
682996;42;5;3
688901;0;36;3
699873;7;40;5
704931;4;45;8
705871;11;6;31
706999;2;44;0
710901;2;7;24
715182;7;33;6
716060;12;24;3
716495;36;12;2
721785;8;6;37
722695;13;6;8
723937;4;3;40
725392;22;17;7
727097;29;9;5
728764;23;7;6
730487;7;31;2
731651;10;46;6
732529;19;16;1
735465;36;15;7
738371;3;27;3
739435;36;9;10
744598;2;50;3
747993;9;13;8
751643;5;57;5
753347;2;37;6
760234;6;6;18
763544;20;10;1
763916;10;34;0
764945;2;34;4
765010;19;33;7
766554;3;2;16
767382;28;15;7
770561;0;4;48
773276;43;2;3
778044;6;53;7
780422;25;0;4
785067;27;17;7
789240;30;9;4
792576;3;6;27
794800;9;20;7
801423;6;39;4
802019;10;25;2
802615;0;12;29
803382;2;32;1
804430;32;18;1
804528;31;7;0
810963;12;34;1
816503;23;3;2
817381;5;22;5
818657;6;6;43
825121;3;3;31
826439;7;0;31
827423;32;6;5
829732;1;13;4
830136;7;66;2
837387;6;65;4
839816;18;5;1
839976;7;10;27
840261;2;12;32
841412;4;34;9
850684;29;3;8
856744;5;24;1
859727;33;3;5
860842;15;13;5
862433;1;11;39
863264;9;14;8
871942;23;9;3
872945;13;14;6
872953;20;2;2
873846;1;11;55
875008;24;15;8
875098;4;12;41
875264;2;6;3
875878;38;5;6
883947;42;11;4
890618;0;20;6
898022;0;5;21
899650;5;53;7
905620;10;28;5
912236;6;4;2
916660;11;8;2
918083;2;8;28
924185;6;38;10
931491;35;3;1
934190;46;23;5
934816;27;16;7
941085;21;3;5
941204;10;13;10
941671;4;5;33
942671;11;11;24
946807;16;18;6
947806;6;9;28
948135;10;4;0
950342;8;28;5
953138;24;12;8
953848;29;10;3
955408;3;5;43
962838;3;2;45
965265;9;51;7
966935;4;8;28
981924;19;10;8
990905;7;26;5
990977;0;4;32
993612;20;17;1
995951;9;16;4
